,Source,Destination,num_packets,avg_packet_length,max_packet_length,min_packet_length,time_gaps,max_time_gaps,min_time_gaps,cluster
301,152,25,2,66.0,66,66,45.033,45.033,45.033,1
302,153,37,5,296.0,1090,60,2.684,10.34,0.003,0
303,154,25,2,66.0,66,66,45.052,45.052,45.052,1
304,155,25,4,224.25,390,60,13.38,39.955,0.093,0
305,156,25,2,66.0,66,66,45.021,45.021,45.021,1
306,156,37,24,342.125,1406,60,0.242,5.317,0.0,0
307,157,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
308,158,25,2,66.0,66,66,45.048,45.048,45.048,1
309,159,37,4,226.75,394,60,13.511,39.958,0.264,0
310,160,37,167,452.838,1406,60,0.008,0.184,0.0,0
311,161,37,4,227.0,394,60,13.454,39.958,0.107,0
312,162,37,2,63.0,66,60,30.747,30.747,30.747,1
313,163,37,25,367.28,1406,60,2.087,39.955,0.0,0
314,164,37,3,442.0,1165,60,9.967,19.829,0.106,0
315,165,37,4,222.75,386,60,13.39,39.939,0.108,0
316,166,25,2,101.0,101,101,40.064,40.064,40.064,1
317,167,37,4,101.0,101,101,18.882,23.478,16.578,0
318,168,37,29,375.103,1406,60,0.221,2.01,0.0,0
319,169,37,9,156.444,834,60,6.712,32.564,0.0,0
320,170,37,1,100.0,100,100,-1.0,-1.0,-1.0,0
321,171,37,10,440.9,1406,60,0.029,0.078,0.0,0
322,172,25,38,261.474,1514,60,0.019,0.296,0.0,0
323,173,37,16,351.375,1141,88,3.0,44.997,0.0,0
324,174,37,4,363.25,655,101,0.0,0.0,0.0,0
325,175,25,2,66.0,66,66,45.036,45.036,45.036,1
326,176,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
327,177,37,8,224.5,1088,60,5.741,18.093,0.0,0
328,178,37,4,97.0,97,97,18.085,18.087,18.082,0
329,179,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
330,180,37,3,438.333,1137,89,0.0,0.0,0.0,0
331,181,37,6,93.667,109,60,10.839,18.085,0.316,0
332,182,37,12,283.583,1318,66,5.632,18.069,0.0,0
333,183,37,8,97.0,97,97,7.748,18.092,0.0,0
334,184,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
335,185,37,1199,467.515,1514,60,0.058,1.252,0.0,0
336,186,37,16,1088.75,1406,60,2.079,15.36,0.0,0
337,187,25,11,211.636,390,60,1.555,15.212,0.0,0
338,187,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
339,188,37,6,136.667,179,83,8.758,33.71,0.012,0
340,189,37,39,166.897,319,93,1.765,8.081,0.0,0
341,190,37,11,105.818,186,60,6.018,10.049,0.0,0
342,191,37,10,97.8,186,60,6.68,10.02,0.02,0
343,192,37,7,67.714,78,66,9.045,10.241,3.275,0
344,193,37,1728,95.905,1066,60,0.041,0.334,0.0,0
345,194,25,4,128.0,326,60,9.933,29.768,0.001,0
346,195,127,2,299.0,299,299,30.003,30.003,30.003,1
347,195,128,35,64.0,64,64,2.0,2.027,1.973,0
348,195,129,35,60.0,60,60,2.0,2.027,1.973,0
349,196,127,3,290.0,290,290,29.979,30.0,29.958,1
350,196,128,35,64.0,64,64,2.0,2.027,1.973,0
351,197,125,10,60.0,60,60,7.449,14.984,2.992,0
352,198,130,3,42.0,42,42,31.494,41.273,21.715,1
353,198,131,1,42.0,42,42,-1.0,-1.0,-1.0,0
354,199,125,3,60.0,60,60,0.844,0.995,0.693,0
355,200,124,17,60.0,60,60,3.879,8.008,2.001,0
356,201,124,17,60.0,60,60,4.253,8.006,2.0,0
357,202,125,6,60.0,60,60,1.2,2.0,0.999,0
358,203,125,2,60.0,60,60,19.713,19.713,19.713,1
359,204,124,17,60.0,60,60,3.877,8.003,1.999,0
360,205,124,17,60.0,60,60,3.878,8.008,2.0,0
361,206,124,17,60.0,60,60,3.878,8.008,2.0,0
362,207,124,17,60.0,60,60,3.878,8.006,1.999,0
363,208,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
364,209,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
365,210,125,3,60.0,60,60,0.85,1.0,0.701,0
366,211,125,4,60.0,60,60,1.5,2.922,0.578,0
367,212,125,2,60.0,60,60,13.032,13.032,13.032,0
368,213,125,4,60.0,60,60,1.667,3.013,0.984,0
369,214,125,3,60.0,60,60,11.846,13.775,9.916,0
370,215,125,12,60.0,60,60,2.5,12.315,0.672,0
371,216,125,18,60.0,60,60,2.562,12.065,0.001,0
372,217,125,6,60.0,60,60,1.002,1.003,1.002,0
373,218,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
374,219,125,7,60.0,60,60,9.028,26.359,1.174,0
375,220,125,145,60.0,60,60,0.478,1.08,0.004,0
376,220,126,3,60.0,60,60,31.493,41.272,21.715,1
377,221,125,6,60.0,60,60,1.003,1.004,1.002,0
378,222,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
379,223,125,2,60.0,60,60,24.948,24.948,24.948,1
380,224,125,3,60.0,60,60,18.306,19.723,16.889,0
381,225,125,12,60.0,60,60,4.128,32.552,0.897,0
382,226,125,25,60.0,60,60,2.375,12.478,0.513,0
383,227,125,2,60.0,60,60,0.002,0.002,0.002,0
384,228,125,68,60.0,60,60,1.032,2.004,0.453,0
385,229,125,1,60.0,60,60,-1.0,-1.0,-1.0,0
