Time,MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
,True,28.284,4.959,7,"(63374,63239)","(66254,63400)","(68942,63294)","(107990,98143)","(123030,104358)","(38528,106776)"
,True,28.286,4.959,6,"(63361,63265)","(68928,63322)","(66236,63441)","(75590,107197)","(95918,112789)","(105645,126776)"
,True,28.285,4.959,5,"(63368,63275)","(68935,63334)","(66248,63462)","(116447,96246)","(91833,122985)","(85643,114342)"
,True,28.286,4.959,4,"(63342,63301)","(68908,63352)","(66225,63478)","(127051,106503)","(119569,103250)","(118951,103739)"
,True,28.284,4.959,4,"(63298,63316)","(68866,63371)","(66184,63495)","(113431,113788)","(116671,112700)","(121732,115642)"
,True,28.286,4.959,3,"(63266,63321)","(68834,63377)","(66151,63502)","(116065,97075)","(33205,110651)","(109995,121700)"
,True,28.284,4.959,4,"(63223,63372)","(68792,63429)","(66111,63564)","(109639,117789)","(97564,102881)","(95116,108326)"
,True,28.284,4.959,4,"(63223,63372)","(68792,63429)","(66111,63564)","(109639,117789)","(97564,102881)","(95116,108326)"
,True,28.285,4.959,6,"(63206,63390)","(68775,63447)","(66095,63585)","(112773,121850)","(123801,125805)","(66159,130509)"
,False,28.286,4.959,4,"(63288,63395)","(68856,63451)","(66209,63587)","(101173,104627)","(83713,105369)","(43791,105804)"
,False,28.286,4.959,4,"(63288,63395)","(68856,63451)","(66209,63587)","(101173,104627)","(83713,105369)","(43791,105804)"
,True,28.285,4.959,3,"(63280,63415)","(68849,63470)","(66212,63610)","(62857,111820)","(65525,114552)","(61461,125659)"
,True,28.286,4.959,7,"(63285,63369)","(68854,63423)","(66214,63561)","(42212,109398)","(113413,117218)","(85820,121000)"
,True,28.286,4.959,7,"(63285,63369)","(68854,63423)","(66214,63561)","(42212,109398)","(113413,117218)","(85820,121000)"
,False,28.286,4.959,6,"(63264,63361)","(68830,63414)","(66183,63553)","(7588,112400)","(77154,129465)","(126663,130664)"
,False,28.286,4.959,6,"(63267,63367)","(68835,63422)","(66183,63559)","(112126,105809)","(119562,115496)","(36399,120142)"
,True,28.286,4.959,8,"(63237,63358)","(68803,63412)","(66148,63548)","(125031,100894)","(84941,101561)","(91711,104548)"
,True,28.286,4.959,10,"(63216,63380)","(68785,63434)","(66125,63574)","(79254,103327)","(112405,105847)","(106249,106777)"
,True,28.285,4.959,5,"(63220,63363)","(68789,63414)","(66127,63554)","(68662,114950)","(101101,127827)","(113189,119781)"
,True,28.286,4.959,5,"(63185,63354)","(68753,63410)","(66082,63546)","(96673,105329)","(129486,107366)","(100729,104722)"
,True,28.286,4.959,4,"(63187,63346)","(68754,63402)","(66087,63537)","(82643,118159)","(68239,103637)","(121728,103673)"
,True,28.286,4.959,4,"(63175,63349)","(68742,63404)","(66071,63541)","(32802,112080)","(97577,112021)","(79719,124412)"
,True,28.286,4.959,7,"(63161,63356)","(68730,63410)","(66059,63550)","(119739,97020)","(103161,123030)","(96518,126326)"
,False,28.285,4.959,7,"(63190,63369)","(68758,63422)","(66092,63563)","(108746,93411)","(125873,108318)","(94947,110471)"
,False,28.285,4.959,7,"(63190,63369)","(68758,63422)","(66092,63563)","(108746,93411)","(125873,108318)","(94947,110471)"
,True,28.286,4.959,6,"(63175,63367)","(68741,63419)","(66073,63559)","(103150,96886)","(116517,106973)","(95392,121151)"
,True,28.286,4.959,7,"(63184,63353)","(68750,63406)","(66083,63544)","(95942,102015)","(102645,126782)","(74073,128223)"
,True,28.286,4.959,7,"(63184,63353)","(68750,63406)","(66083,63544)","(95942,102015)","(102645,126782)","(74073,128223)"
,True,28.284,4.959,7,"(63192,63353)","(68760,63406)","(66093,63543)","(95334,102472)","(112028,112691)","(49543,113912)"
,True,28.286,4.959,6,"(63185,63342)","(68752,63395)","(66088,63530)","(117261,106845)","(16939,128337)","(73037,128639)"
,True,28.286,4.959,11,"(63231,63345)","(68799,63399)","(66140,63533)","(109222,106168)","(120800,110954)","(128738,114524)"
,True,28.286,4.959,4,"(63249,63342)","(68816,63396)","(66161,63532)","(50763,107237)","(64052,121497)","(97805,103406)"
,True,28.286,4.959,5,"(63242,63335)","(68809,63389)","(66156,63525)","(115711,109488)","(117792,109142)","(97704,114483)"
,True,28.286,4.959,7,"(63251,63329)","(68819,63383)","(66166,63519)","(127103,102863)","(87371,104517)","(98542,104531)"
,True,28.286,4.959,4,"(63231,63322)","(68800,63374)","(66146,63513)","(90606,121700)","(106848,123588)","(78152,127079)"
,True,28.286,4.959,5,"(63235,63318)","(68803,63370)","(66146,63512)","(97070,113010)","(97126,120374)","(93617,122116)"
,True,28.284,4.959,5,"(63233,63326)","(68801,63379)","(66143,63518)","(89117,99933)","(112483,128769)","(67297,105274)"
,True,28.286,4.959,6,"(63206,63323)","(68772,63375)","(66111,63515)","(128458,97986)","(128587,103644)","(128735,128768)"
,True,28.286,4.959,6,"(63186,63314)","(68753,63365)","(66086,63503)","(74521,115314)","(114344,115505)","(509,129879)"
,True,28.284,4.959,6,"(63162,63301)","(68729,63354)","(66060,63490)","(125364,120222)","(79259,121252)","(109983,126372)"
,True,28.286,4.959,6,"(63175,63295)","(68742,63344)","(66069,63479)","(100927,103246)","(101095,106165)","(114876,127865)"
