MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
True,24.011,16.948,3,"(65248,62156)","(65627,65605)","(65067,68944)","(68994,69769)","(69375,65737)","(68592,70008)"
True,24.244,16.763,3,"(66025,62185)","(66419,65616)","(65847,68944)","(68994,69769)","(69375,65737)","(68592,70008)"
True,24.244,16.763,3,"(66025,62185)","(66419,65616)","(65847,68944)","(68994,69769)","(69375,65737)","(68592,70008)"
True,24.446,16.598,3,"(66931,62235)","(67326,65651)","(66753,68962)","(68994,69769)","(69375,65737)","(68592,70008)"
True,24.652,16.442,3,"(67636,62293)","(68039,65697)","(67459,68998)","(68994,69769)","(69375,65737)","(68592,70008)"
True,24.652,16.442,3,"(67636,62293)","(68039,65697)","(67459,68998)","(68994,69769)","(69375,65737)","(68592,70008)"
True,24.926,16.289,3,"(67958,62388)","(68370,65781)","(67784,69065)","(68994,69769)","(69375,65737)","(68592,70008)"
True,25.207,16.142,3,"(67720,62441)","(68124,65819)","(67552,69096)","(68994,69769)","(69375,65737)","(68592,70008)"
True,25.207,16.142,3,"(67720,62441)","(68124,65819)","(67552,69096)","(68994,69769)","(69375,65737)","(68592,70008)"
True,25.52,15.993,3,"(67285,62538)","(67690,65908)","(67119,69171)","(68994,69769)","(69375,65737)","(68592,70008)"
True,25.836,15.856,3,"(66650,62602)","(67040,65961)","(66485,69210)","(68994,69769)","(69375,65737)","(68592,70008)"
True,25.836,15.856,3,"(66650,62602)","(67040,65961)","(66485,69210)","(68994,69769)","(69375,65737)","(68592,70008)"
True,25.836,15.856,3,"(66650,62602)","(67040,65961)","(66485,69210)","(68994,69769)","(69375,65737)","(68592,70008)"
True,26.158,15.7,3,"(66132,62667)","(66523,66016)","(65968,69253)","(68994,69769)","(69375,65737)","(68592,70008)"
True,26.412,15.558,3,"(65770,62718)","(66147,66051)","(65603,69279)","(68994,69769)","(69375,65737)","(68592,70008)"
True,26.412,15.558,3,"(65770,62718)","(66147,66051)","(65603,69279)","(68994,69769)","(69375,65737)","(68592,70008)"
True,26.636,15.408,3,"(65647,62740)","(66024,66064)","(65480,69280)","(68994,69769)","(69375,65737)","(68592,70008)"
True,26.859,15.264,3,"(65525,62739)","(65899,66052)","(65355,69257)","(68994,69769)","(69375,65737)","(68592,70008)"
True,26.859,15.264,3,"(65525,62739)","(65899,66052)","(65355,69257)","(68994,69769)","(69375,65737)","(68592,70008)"
True,27.093,15.175,3,"(65236,62766)","(65605,66071)","(65066,69264)","(68994,69769)","(69375,65737)","(68592,70008)"
True,27.339,15.12,3,"(64811,62727)","(65168,66028)","(64639,69223)","(68994,69769)","(69375,65737)","(68592,70008)"
True,27.339,15.12,3,"(64811,62727)","(65168,66028)","(64639,69223)","(68994,69769)","(69375,65737)","(68592,70008)"
True,27.592,15.073,3,"(64427,62727)","(64785,66025)","(64252,69212)","(68994,69769)","(69375,65737)","(68592,70008)"
True,27.832,15.022,3,"(64148,62691)","(64502,65984)","(63975,69170)","(64109,69178)","(69375,65737)","(68592,70008)"
True,27.832,15.022,3,"(64148,62691)","(64502,65984)","(63975,69170)","(64109,69178)","(69375,65737)","(68592,70008)"
True,28.045,14.973,3,"(64066,62651)","(64417,65939)","(63891,69121)","(64109,69178)","(69375,65737)","(68592,70008)"
True,28.249,14.923,3,"(64161,62572)","(64511,65855)","(63983,69036)","(64109,69178)","(69375,65737)","(68592,70008)"
True,28.249,14.923,3,"(64161,62572)","(64511,65855)","(63983,69036)","(64109,69178)","(69375,65737)","(68592,70008)"
True,28.438,14.872,3,"(64346,62528)","(64699,65806)","(64170,68984)","(64158,68987)","(69375,65737)","(68592,70008)"
True,28.623,14.8,3,"(64588,62460)","(64947,65734)","(64412,68903)","(64158,68987)","(69375,65737)","(68592,70008)"
True,28.623,14.8,3,"(64588,62460)","(64947,65734)","(64412,68903)","(64158,68987)","(69375,65737)","(68592,70008)"
True,28.806,14.707,3,"(64954,62382)","(65305,65645)","(64778,68810)","(123528,73893)","(69375,65737)","(68592,70008)"
True,28.94,14.595,3,"(65463,62354)","(65831,65613)","(65289,68770)","(65084,68794)","(69375,65737)","(68592,70008)"
True,28.94,14.595,3,"(65463,62354)","(65831,65613)","(65289,68770)","(65084,68794)","(69375,65737)","(68592,70008)"
True,29.078,14.473,4,"(127894,60744)","(65925,62293)","(66289,65542)","(65754,68688)","(69375,65737)","(68592,70008)"
True,29.232,14.338,3,"(66342,62279)","(66712,65519)","(66171,68658)","(66081,68672)","(69375,65737)","(68592,70008)"
